codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
09-04-01-001-0002;C299309818;CCO-16-08-08-00001;cojedes;lima blanco;macapo;los mangos (sin nombre comercial);equipamiento y dotación para la producción agrícola del sector los mangos; municipio lima blanco; estado cojedes.;leguminosas;22/02/2016;Sin Fecha de Inicio;767545;62;3;10500;0;0;;
09-05-0006;J405508680;COM-16-08-04-00004;cojedes;pao de san juan bautista;el pao;libertadora manuelita saenz;siembra de leguminosas en los territorios de la comuna libertadora manuelita saenz;leguminosas;11/10/2016;2016-12-23;63000000;180;630000;0;0;;;;;
09-05-01-001-0015;C299083828;CCO-16-08-04-00031;cojedes;pao de san juan bautista;el pao;laya;siembra de maiz en el municipio pao.;cereales;31/03/2016;2016-06-15;8000000;100;350000;87;0;;;;;
09-05-01-001-0052;C299315990;CCO-16-08-04-00041;cojedes;pao de san juan bautista;el pao;la y (sin nombre comercial);socioproductivo de leguminosa de la comuna socialista maisanta;leguminosas;07/10/2016;2017-02-01;127924270;500;1750000;0;0;;;;;
09-05-01-001-0055;J299279900;CCO-16-08-04-00032;cojedes;pao de san juan bautista;el pao;las camasas;siembra de cereales en la comunidad las camasas municipio pao.;cereales;31/03/2016;2016-05-04;50000000;400;1400000;186;0;;;;;
09-05-01-001-0061;C299745073;CCO-16-08-04-00035;cojedes;pao de san juan bautista;el pao;el milagro (sin nombre comercial);plan de siembra de cereales(maiz blanco);cereales;13/04/2016;2016-07-20;15000000;100;350000;18;0;;;;;
09-05-01-063-0000;C299562653;CCO-16-08-04-00042;cojedes;pao de san juan bautista;el pao;mata palos (sin nombre comercial);siembra de leguminosas en el ámbito geográfico de la comuna comandante chávez del pao;leguminosas;10/10/2016;2016-12-23;48300000;138;483000;0;0;;;;;
09-06-01-001-0020;C299506567;CCO-16-08-05-00015;cojedes;ricaurte;libertad de cojedes;el jebito (sin nombre comercial);plan de siembra comunal 2016 de cereales en el rubro de maíz;cereales;14/04/2016;2016-06-02;28730000;221;773500;146;221000;;;;;
09-06-01-021-0000;J299215864;CCO-16-08-05-00022;cojedes;ricaurte;libertad de cojedes;genareão;siembra de leguminosas en el ambito geográfico de la comuna comandante eterno hugo chávez fría el arañero;leguminosas;04/10/2016;Sin Fecha de Inicio;35000000;100;350000;0;0;;;;;
09-06-01-P69-0000;C299229636;CCO-16-08-05-00023;cojedes;ricaurte;libertad de cojedes;caã±o hondo centro i;siembra de leguminosas en el ámbito geografico de la comuna zamora vive en tierras de ricaurte;leguminosas;06/10/2016;2016-12-27;52832723;51;206;5;722750;0;0;;;
09-06-01-R26-0000;C299339016;CCO-16-08-05-00003;cojedes;ricaurte;libertad de cojedes;zona de riego la chepera (sin nombre comercial);adquisición de implementos agrícolas para el fortalecimiento de la producción agroalimentaria en zona de riego la chepera ;cereales;29/02/2016;2016-05-04;7000000;1200;4200000;0;0;;;;;
09-06-01-R39-0000;C299259047;CCO-16-08-05-00024;cojedes;ricaurte;libertad de cojedes;genareão ii;siembra de leguminosas en el ámbito geográfico de la comuna comandante eterno hugo chávez frias el arañero;leguminosas;13/10/2016;2016-12-23;15095063;92;59;206500;0;0;;;;
09-07-01-D76-0000;J299405256;CCO-16-08-09-00033;cojedes;rómulo gallegos;rómulo gallegos;jardines de gabinero;siembra de leguminosas en el ámbito geografico de la comuna socialista simón rodriguez;leguminosas;07/10/2016;2017-01-17;12792427;50;175000;0;0;;;;;
09-07-01-P46-0000;J299528544;CCO-16-08-09-00018;cojedes;rómulo gallegos;rómulo gallegos;san marcos el charcote (sin nombre comercial);siembra de 900 hectarias de maiz blanco en el consejo comunal san marcos el charcote;cereales;14/04/2016;2016-06-02;135000000;900;3150000;477;325400;;;;;
09-07-01-P48-0001;J299283576;CCO-16-08-09-00027;cojedes;rómulo gallegos;rómulo gallegos;la yaguara de gabinero;plan de siembra de cereales(maiz blanco);cereales;31/05/2016;2016-06-22;65000000;500;1750000;294;237660;;;;;
